setup_id,platform,type,timestamp,model,step,duration,rating
1,,setup_step,2018-08-01 00:13:37.323+00,router,selected_account,1417.937,
2,iOS,setup_step,2018-08-01 00:17:02.426+00,router,setup_start,83.46003699,
2,iOS,setup_error,2018-08-01 00:16:16.128+00,router,setup_start,37.16310799,
2,iOS,setup_error,2018-08-01 00:15:56.034+00,router,setup_start,17.065148,
3,iOS,setup_step,2018-08-01 00:08:22.423+00,router,setup_start,85.943542,
3,iOS,setup_error,2018-08-01 00:07:35.646+00,router,setup_start,39.168329,
3,iOS,setup_error,2018-08-01 00:07:13.532+00,router,setup_start,17.04696798,
4,iOS,setup_error,2018-08-01 00:05:17.771+00,router,setup_start,17.36949098,
5,iOS,setup_step,2018-08-01 07:41:28.276+00,router,setup_start,4.046041965,
5,iOS,setup_step,2018-08-01 07:41:28.849+00,router,device_name,4.618713975,
5,iOS,setup_step,2018-08-01 07:41:28.234+00,router,setup_start,4.003008008,
5,iOS,setup_step,2018-08-01 07:42:46.409+00,router,setup_start,82.17926192,
5,iOS,setup_step,2018-08-01 07:42:44.685+00,router,no_internet,80.45470893,
5,iOS,setup_step,2018-08-01 07:42:51.116+00,router,no_internet,86.88609993,
6,iOS,setup_step,2018-08-01 07:45:14.389+00,router,setup_start,4.316137075,
6,iOS,setup_step,2018-08-01 07:45:14.419+00,router,setup_start,4.348994017,
6,iOS,setup_step,2018-08-01 07:45:14.99+00,router,device_name,4.919887066,
6,iOS,setup_step,2018-08-01 07:45:19.016+00,router,no_internet,8.945860028,
6,iOS,setup_step,2018-08-01 07:45:19.016+00,router,no_internet,8.945860028,
7,iOS,setup_step,2018-08-01 07:52:33.082+00,router,setting_up,94.65778208,
7,iOS,setup_step,2018-08-01 07:51:19.361+00,router,device_name,20.93748307,
7,iOS,setup_step,2018-08-01 07:51:35.704+00,router,selected_account,37.27974606,
7,iOS,setup_step,2018-08-01 07:52:25.716+00,router,speed_test_results,87.29077208,
7,iOS,setup_step,2018-08-01 07:52:30.954+00,router,review,92.52940011,
7,iOS,setup_step,2018-08-01 07:51:43.615+00,router,network_settings,45.19068301,
7,iOS,setup_step,2018-08-01 07:51:02.53+00,router,setup_start,4.103300095,
7,iOS,setup_step,2018-08-01 07:51:02.56+00,router,setup_start,4.136648059,
